回答番号,受付番号,回答日時,属性,あなたの性別は？,あなたの年齢は？,あなたが住んでる地区は？,あなたが住んでる地区の良いところや好きなところ、自慢したいところは？,あなたが住んでいる地区に変わってほしいところや不便なところは？,鯖江市に変わってほしいところや不便なところは？,あなたは鯖江市に住み続けたいですか？,住みたい場所の質問で、3～5を選択した人にお聞きします。具体的にどこに移りたいですか？,住みたい場所の質問で、あなたが選んだ理由は？,あなたが欲しい情報を探したり集めたりするときに使うものは？ [（○は３つまで）],あなたが欲しい情報を探したり集めたりするときに使うものは？その他,あなたは鯖江市がどんなまちになったらいいと思いますか？ [（○は３つまで）],あなたは鯖江市がどんなまちになったらいいと思いますか？その他,鯖江市の将来像について、夢や希望、アイデアなど、想いを自由に書いてください。,その他、市に対して言いたいことを、自由に書いてください。
294,RS00029483,2023-07-06T08:05:54,中学生,男性,12〜15歳,鯖江（惜陰・進徳小学校区）,,,"バスや鉄道の本数が少ない
",５．県外に移りたい,,福井県にやりたい仕事がないから,パソコン;スマートフォン（スマホ）;タブレット端末,,だれもが自由に移動できる交通利便性の高いまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;まちなみや景観が美しいまち,,,
293,RS00029319,2023-07-06T08:05:09,中学生,女性,12〜15歳,鯖江（惜陰・進徳小学校区）,大きな公園がある。,,西山公園のところに何か人気のお店をおいてほしい。,２．一度、市を出て、また帰ってきたい,,鯖江市には私がやりたい職業がない。,スマートフォン（スマホ）;テレビ,,スポーツに親しむ環境が整備されたまち;産業が盛んで働く場所が充実したまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,鯖江市は福井県の中の市よりも発展が遅れているから他の市に追いついてほしい。イオンがあってほしい。,鯖江市にはない飲食店などがあっていいなと思います。
292,RS00029271,2023-07-06T08:04:57,中学生,女性,12〜15歳,鯖江（惜陰・進徳小学校区）,,,,２．一度、市を出て、また帰ってきたい,,県外で働いてみたいから,パソコン;スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;個性を尊重し多様なライフスタイルが実現できるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,,
291,RS00029192,2023-07-06T08:04:56,中学生,男性,12〜15歳,豊,田んぼ,,周りになにもない,５．県外に移りたい,大阪,とても楽しそうだから,パソコン;スマートフォン（スマホ）;タブレット端末,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,,
290,RS00029035,2023-07-06T08:04:55,中学生,女性,12〜15歳,豊,田んぼがいっぱいあるところ,,"友達とあそぶ場所がない
",４．県内の他の市町に移りたい,福井市,"今住んでいるところが田んぼしかなくて不便だから
",スマートフォン（スマホ）,,若者や女性に選ばれる魅力のあるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,にぎやかなまち,田んぼしかありません
289,RS00028922,2023-07-06T08:04:54,中学生,女性,12〜15歳,鯖江（惜陰・進徳小学校区）,西山公園がある。,,友達と遊ぶ場所が少ない。,４．県内の他の市町に移りたい,福井市,便利な場所がたくさんあるから。,スマートフォン（スマホ）;パソコン;テレビ,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;若者や女性に選ばれる魅力のあるまち;個性を尊重し多様なライフスタイルが実現できるまち,,大型商業施設がある。,学校の指導面。
288,RS00028808,2023-07-06T08:04:41,中学生,女性,12〜15歳,鯖江（惜陰・進徳小学校区）,,,,５．県外に移りたい,関東地方または近畿地方,賑わってそうで、いろいろなものがありそうだから。,パソコン;スマートフォン（スマホ）;テレビ,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,,
287,RS00028708,2023-07-06T08:04:39,中学生,女性,12〜15歳,新横江（鯖江東小学校区）,周りにコンビニやスーパーマーケットがたくさんあって買い物に困らないところ,,ショッピングセンターが少ない,５．県外に移りたい,大阪や東京などの都会,遊べる場所がたくさんあるから,スマートフォン（スマホ）;携帯電話（スマートフォン以外）,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;安心して結婚・出産・子育てができるまち,,ないです,ないです
286,RS00028662,2023-07-06T08:04:31,中学生,女性,12〜15歳,鯖江（惜陰・進徳小学校区）,西山公園でツツジや桜が綺麗なところ,,"大きなショッピングモールが少ないこと
",２．一度、市を出て、また帰ってきたい,,将来の仕事で福井ではできない仕事があるから,スマートフォン（スマホ）;タブレット端末;テレビ,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;まちなみや景観が美しいまち;デジタル技術を活用したサービスが充実したまち,,,
285,RS00028554,2023-07-06T08:04:29,中学生,女性,12〜15歳,豊,,,,２．一度、市を出て、また帰ってきたい,,一回だけ出てみて、どんな感じかだけ知ってもう一度帰りたいと思ったから,スマートフォン（スマホ）;タブレット端末,,まちなみや景観が美しいまち;若者や女性に選ばれる魅力のあるまち;歴史・伝統・芸術・文化を大切にするまち,,,
284,RS00028405,2023-07-06T08:04:09,中学生,女性,12〜15歳,豊,地区のみんなとの関わりがあること。,,,１．いま住んでる地区にずっと住み続けたい,,楽しいから。,スマートフォン（スマホ）,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,,
283,RS00028306,2023-07-06T08:04:08,中学生,男性,12〜15歳,豊,緑がたくさんある,,イオンとかがない所,５．県外に移りたい,東京,将来やりたいことがあるから,パソコン;スマートフォン（スマホ）;テレビ,,スポーツに親しむ環境が整備されたまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;若者や女性に選ばれる魅力のあるまち,,知名度を上げたい,道路がガタガタ
282,RS00028299,2023-07-06T08:04:04,中学生,女性,12〜15歳,新横江（鯖江東小学校区）,近くにメガネミュージアムがあっていいと思う,,み,５．県外に移りたい,,いち度出てみたいから,テレビ;スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち,,すみやすいしに,
281,RS00028188,2023-07-06T08:03:32,中学生,男性,12〜15歳,鯖江（惜陰・進徳小学校区）,近くに公園があって遊びやすい。,,公園に遊具が少ない。,１．いま住んでる地区にずっと住み続けたい,,今住んでいる場所が住みやすいから。,スマートフォン（スマホ）;タブレット端末;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,安心して暮らせる,安心して暮らせるようにしてほしい
280,RS00028003,2023-07-06T08:03:23,中学生,男性,12〜15歳,立待,,,友達と遊べる場所が少ない,１．いま住んでる地区にずっと住み続けたい,,今住んでいる場所が落ち着くから,スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;身近に自然を感じることのできるまち,,,
279,RS00027969,2023-07-06T08:02:55,中学生,女性,12〜15歳,豊,祭りや地区の大会が楽しいところ,,遊べる場所が少ないところ,２．一度、市を出て、また帰ってきたい,,ほかの市にも住んでみたいから,スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;若者や女性に選ばれる魅力のあるまち;スポーツに親しむ環境が整備されたまち,,遊べるところがたくさんある,
278,RS00027816,2023-07-06T08:01:55,中学生,回答しない,12〜15歳,鯖江（惜陰・進徳小学校区）,,,,５．県外に移りたい,京都,田舎じゃない,パソコン;スマートフォン（スマホ）;タブレット端末,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,,
277,RS00027714,2023-07-06T08:01:32,中学生,男性,12〜15歳,鯖江（惜陰・進徳小学校区）,山,,電気代,１．いま住んでる地区にずっと住み続けたい,,好きだから,パソコン;タブレット端末;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;だれもが自由に移動できる交通利便性の高いまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,ない,かぼちゃ
276,RS00027654,2023-07-06T08:01:18,中学生,女性,12〜15歳,鯖江（惜陰・進徳小学校区）,"みんなが挨拶を返してくれる
学校が近い
平和",,田舎,５．県外に移りたい,東京、愛知、大阪,"都会に行きたいから
だいたいイベントやライブは都会でやっているから",スマートフォン（スマホ）;タブレット端末,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;デジタル技術を活用したサービスが充実したまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,もっと都会にしてほしい,
275,RS00027567,2023-07-06T08:00:00,中学生,女性,12〜15歳,鯖江（惜陰・進徳小学校区）,西山など自然が楽しめる場所があるところ,,あまり遊ぶところがない,２．一度、市を出て、また帰ってきたい,,仕事などで福井県内だけど鯖江以外で仕事をしてみたいから。,パソコン;スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;歴史・伝統・芸術・文化を大切にするまち,,みんなが安心して暮らせるような社会にしたい。」,特にないです。
274,RS00027435,2023-07-06T07:59:56,中学生,男性,12〜15歳,豊,田舎だけど皆んな仲がよくて親しやすい,,一切ない,１．いま住んでる地区にずっと住み続けたい,,今住んでるところが住みやすい,スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち,,自然豊な街,でかいデパートを作ってほしい
273,RS00027382,2023-07-06T07:59:53,中学生,男性,12〜15歳,吉川,近くに河川敷がある,,サッカーする場所がほしい,２．一度、市を出て、また帰ってきたい,,まあまあ住みやすいから,スマートフォン（スマホ）;テレビ,,身近に自然を感じることのできるまち;スポーツに親しむ環境が整備されたまち;子どもから高齢者まで安心して教育を受けられるまち,,自然にあふれるところ,サッカーする場所がほしい
272,RS00027286,2023-07-06T07:58:05,中学生,男性,12〜15歳,豊,緑が多い,,友達と遊ぶ場所が少ない,５．県外に移りたい,東京都,やりたい仕事が福井には少ないorないから。,パソコン;スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち,,,
271,RS00027129,2023-07-06T07:57:15,中学生,女性,12〜15歳,鯖江（惜陰・進徳小学校区）,,,遊べる場所がない,２．一度、市を出て、また帰ってきたい,,やりたい職業があるので、一度県外に出てから戻って帰りたいから,パソコン;スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;だれもが自由に移動できる交通利便性の高いまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,,
270,RS00027021,2023-07-06T07:56:38,中学生,女性,12〜15歳,鯖江（惜陰・進徳小学校区）,田舎で平和なとこ,,遊ぶ場所がない,５．県外に移りたい,東京,県外に好きな県があるから,スマートフォン（スマホ）,,まちなみや景観が美しいまち;スポーツに親しむ環境が整備されたまち;身近に自然を感じることのできるまち,,きれいな景観を目指したい,遊べる場所を増やしてほしい
269,RS00026946,2023-07-06T07:56:31,中学生,女性,12〜15歳,鯖江（惜陰・進徳小学校区）,公園で遊べる,,友達と遊べる場所が少ない,１．いま住んでる地区にずっと住み続けたい,,住みやすいから,スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;若者や女性に選ばれる魅力のあるまち,,緑が多い町,イオンができてほしい
268,RS00026800,2023-07-06T07:55:36,中学生,男性,12〜15歳,吉川,なし,,特にない,２．一度、市を出て、また帰ってきたい,,旅行に行きたいから,スマートフォン（スマホ）;テレビ,,だれもが自由に移動できる交通利便性の高いまち;身近に自然を感じることのできるまち;個性を尊重し多様なライフスタイルが実現できるまち,,ない,ない
267,RS00026739,2023-07-03T15:20:01,中学生,男性,12〜15歳,立待,"おじいちゃん、おばあちゃんが多い。
",,"友達と遊べる場所がとても少ない。
",５．県外に移りたい,沖縄県,生活の幅が広がる。,スマートフォン（スマホ）;テレビ,,だれもが自由に移動できる交通利便性の高いまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,西山公園を発展させてほしい,"中学校を増やしてほしい。
中央中学校は人数が多く、不登校が多いから。
まあ、お金ないか、鯖江市。"
266,RS00026618,2023-07-03T15:12:22,中学生,女性,12〜15歳,立待,歴史がある,,ショッピングできるところがほしい,１．いま住んでる地区にずっと住み続けたい,,住みやすいから,スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;若者や女性に選ばれる魅力のあるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,イオンができてほしい,特になし
265,RS00026536,2023-07-03T14:53:26,中学生,男性,12〜15歳,神明（神明・鳥羽小学校区）,"田んぼや畑が好き。
その畑人達にあいさつしたりすると野菜をくれたりする。
町の人達優しい。",,東鳥羽にお店が一つもないのでお店を作ってほしいです,１．いま住んでる地区にずっと住み続けたい,,"住みやすいから。
",スマートフォン（スマホ）;テレビ,,スポーツに親しむ環境が整備されたまち;安心して結婚・出産・子育てができるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,大谷公園を西山公園のようにするといいと思います。,"無料でスポーツができる場所。
イオンモール、芝政ワールド、のような場所をつくると県外からもいろんな人くる。"
264,RS00026494,2023-07-03T14:45:12,中学生,女性,12〜15歳,鯖江（惜陰・進徳小学校区）,"近くにスーパーコスモスやアオキなど
少しはなれたところにコンビニやパン屋さんなどがある",,"友達と遊べる場所が少ない
もっと楽しめるところや遊べるところ買い物などが出来るところを増やしてほしい
あまりそうゆうところがない",１．いま住んでる地区にずっと住み続けたい,,特にない,スマートフォン（スマホ）;テレビ,,防災対策や防犯対策が十分で安全安心に暮らせるまち;安心して結婚・出産・子育てができるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,"もっと暮らしやすい街鯖江にしたい満足感があり安心安全な平等な暮らしがした
マッサージ師になりたい",見たり聞いたりすると不平等なところなどがある
263,RS00026343,2023-07-03T14:43:55,中学生,男性,12〜15歳,神明（神明・鳥羽小学校区）,メガネ枠,,イオンがないところ,５．県外に移りたい,石川県,イオンもあるしコストコもあるから,スマートフォン（スマホ）;タブレット端末,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,ゴミの分別きつくするな,"イオンモール欲しい
コストコも"
262,RS00026259,2023-07-03T14:43:35,中学生,男性,12〜15歳,神明（神明・鳥羽小学校区）,近くに神社がある,,"ショッピングモールがない
",１．いま住んでる地区にずっと住み続けたい,,別に他の県に興味が無いから,スマートフォン（スマホ）;テレビ,,身近に自然を感じることのできるまち;歴史・伝統・芸術・文化を大切にするまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,ショッピングモールがほしい,電気代が高い
261,RS00026139,2023-07-03T14:43:21,中学生,女性,12〜15歳,神明（神明・鳥羽小学校区）,自然が多いところ,,友達と遊べる場所が少ない,２．一度、市を出て、また帰ってきたい,,一度他の場所で色々と経験した上で、学んだことを地元で活かしていきたいから,スマートフォン（スマホ）;パソコン,,若者や女性に選ばれる魅力のあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;歴史・伝統・芸術・文化を大切にするまち,,もっと若者や子供達が楽しんで暮らせるように、商業施設などを建設していってほしい,市議会議員など、若い人を採用して意見を聞き、魅力溢れる市にしていくべきだと思う
260,RS00026085,2023-07-03T14:42:59,中学生,女性,12〜15歳,立待,"自然が豊かで生き物がたくさんいる
近くにコンビニやレストランがある",,友達と遊べる場所が公園しかない,１．いま住んでる地区にずっと住み続けたい,,今住んでいる場所が一番馴染み深いから,テレビ;スマートフォン（スマホ）;パソコン,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;だれもが自由に移動できる交通利便性の高いまち;子どもから高齢者まで安心して教育を受けられるまち,,,
259,RS00025904,2023-07-03T14:42:51,中学生,女性,12〜15歳,神明（神明・鳥羽小学校区）,飲食店がたくさんあること,,友達と遊べる場所が少ない,５．県外に移りたい,大阪府,今住んでいる場所よりも楽しく便利に過ごせそうだから,スマートフォン（スマホ）;テレビ,,防災対策や防犯対策が十分で安全安心に暮らせるまち;安心して結婚・出産・子育てができるまち;若者や女性に選ばれる魅力のあるまち,,"テーマパークがある
イオンモールがある
県外への交通が楽になる
",
258,RS00025889,2023-07-03T14:42:43,中学生,男性,12〜15歳,神明（神明・鳥羽小学校区）,"マックがある
図書館があって本が借りられる",,ともだちとあそぶばしょが少ないところ,２．一度、市を出て、また帰ってきたい,,鯖江は田舎で職が少ないけど、住みやすいから。,スマートフォン（スマホ）;タブレット端末;テレビ,,スポーツに親しむ環境が整備されたまち;人々のふれあいやコミュニティ活動が盛んで温かいまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,もっと車だけでなく他の方法の移動手段があると県外や海外から電車でも来やすくなると思う。,もっと手軽に寄れる休憩場所がほしい。
257,RS00025786,2023-07-03T14:42:39,中学生,男性,12〜15歳,吉川,時期になると祭りがある,,友達といつでも遊びに行ける場所がほしい,１．いま住んでる地区にずっと住み続けたい,,"やりたい仕事が鯖江市でできるから
",テレビ,,スポーツに親しむ環境が整備されたまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;高度な医療や福祉サービスが充実したまち,,好きに運動ができる場所がほしい。市内にないお店や施設があると嬉しい。,交通が充実してほしい
256,RS00025633,2023-07-03T14:42:38,中学生,男性,12〜15歳,神明（神明・鳥羽小学校区）,近くに広い公園があり(三六、西山公園)、運動ができる,,移動手段を増やしてほしい,２．一度、市を出て、また帰ってきたい,,今住んでいる場所が住みやすいし、都会に行っても便利にはなるかもだけど、住みづらいと思う,スマートフォン（スマホ）,,まちなみや景観が美しいまち;個性を尊重し多様なライフスタイルが実現できるまち;デジタル技術を活用したサービスが充実したまち,,,全体的に街を発展させてほしい
255,RS00025584,2023-07-03T14:42:30,中学生,女性,12〜15歳,神明（神明・鳥羽小学校区）,地域の夏祭りや行事が楽しい。,,テーマパークや遊園地が増えてほしい。,２．一度、市を出て、また帰ってきたい,,今の家の近くに友達がいないから。,スマートフォン（スマホ）;テレビ;新聞・雑誌など,,まちなみや景観が美しいまち;スポーツに親しむ環境が整備されたまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,行事が盛り上がりそう。,楽しいです。
254,RS00025416,2023-07-03T14:42:27,中学生,男性,12〜15歳,立待,,,遊べる場所が少ない,５．県外に移りたい,,なんとなく県外に住みたいから,スマートフォン（スマホ）,,まちなみや景観が美しいまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,,
253,RS00025338,2023-07-03T14:42:25,中学生,女性,12〜15歳,吉川,吉川ナスがとれる,,"ショッピングモールをつくってほしい
どこか行くにしても行く場所がないから",１．いま住んでる地区にずっと住み続けたい,,"家族にいつでも会えるようにしたいから
何か合った時にすぐにかけつけるときに近場にいたほうがいいと思ったから",スマートフォン（スマホ）;テレビ,,身近に自然を感じることのできるまち,,ずっと変わらずいまのままでいてほしい,ショッピングモールを増やしてほしい
252,RS00025218,2023-07-03T14:41:26,中学生,男性,12〜15歳,吉川,田んぼが多い,,田舎すぎる,５．県外に移りたい,まだわからない,サッカーが強いから,スマートフォン（スマホ）,,スポーツに親しむ環境が整備されたまち;だれもが自由に移動できる交通利便性の高いまち;身近に自然を感じることのできるまち,,サッカーのスタジアム,サッカーできる場所がほしい
251,RS00025190,2023-07-03T14:40:52,中学生,男性,12〜15歳,鯖江（惜陰・進徳小学校区）,"お米が美味しい
",,"学校に来るときに坂がある
",５．県外に移りたい,千葉県,"県外のほうがいろんなものがあるから
",スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;安心して結婚・出産・子育てができるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,福井だけしかないミュージアムとかがほしい,特にない
250,RS00025086,2023-07-03T14:40:42,中学生,男性,12〜15歳,鯖江（惜陰・進徳小学校区）,電車が近い公園がある商店街があるなど,,,１．いま住んでる地区にずっと住み続けたい,,"特に決めていないから
",テレビ;タブレット端末,,まちなみや景観が美しいまち;子どもから高齢者まで安心して教育を受けられるまち;安心して結婚・出産・子育てができるまち,,遊園地があったらいいなと思う,
249,RS00024996,2023-07-03T14:40:40,中学生,男性,12〜15歳,鯖江（惜陰・進徳小学校区）,遊ぶ場所がたくさんある,,テニスコートを増やしてほしい,５．県外に移りたい,愛知県,都会に住みたいから,スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,"人のことを思いやれる街になってほしい
いろんなことに積極的になってほしい",とても住みやすい街
248,RS00024883,2023-07-03T14:40:38,中学生,男性,12〜15歳,神明（神明・鳥羽小学校区）,ニトリやアルビスなどで買い物ができる,,遊べる場所が少ない,５．県外に移りたい,沖縄県,故郷だから,スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;高度な医療や福祉サービスが充実したまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,特にない,特にない
247,RS00024754,2023-07-03T14:40:06,中学生,女性,12〜15歳,吉川,自然豊か,,遊べる場所が少ない,２．一度、市を出て、また帰ってきたい,,いろんなところに行ってみたいから,スマートフォン（スマホ）;タブレット端末,,スポーツに親しむ環境が整備されたまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,遊べる施設など増やす,
246,RS00024672,2023-07-03T14:40:04,中学生,女性,12〜15歳,中河,,,,１．いま住んでる地区にずっと住み続けたい,,今住んでいる場所が住みやすいから。,スマートフォン（スマホ）,,個性を尊重し多様なライフスタイルが実現できるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,,
245,RS00024503,2023-07-03T14:39:36,中学生,女性,12〜15歳,神明（神明・鳥羽小学校区）,,,友達と遊べる場所が少ない,１．いま住んでる地区にずっと住み続けたい,,住みやすいから,スマートフォン（スマホ）,,若者や女性に選ばれる魅力のあるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち;個性を尊重し多様なライフスタイルが実現できるまち,,,
244,RS00024409,2023-07-03T14:39:26,中学生,男性,12〜15歳,吉川,,,"
",１．いま住んでる地区にずっと住み続けたい,,楽だから,スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち,,,
243,RS00024346,2023-07-03T14:38:58,中学生,男性,12〜15歳,神明（神明・鳥羽小学校区）,公園や広場がある,,店が少ない,５．県外に移りたい,東京都,楽しく過ごせそうだから,スマートフォン（スマホ）,,スポーツに親しむ環境が整備されたまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,スポーツのできる施設を増やす,
242,RS00024211,2023-07-03T14:38:29,中学生,男性,12〜15歳,神明（神明・鳥羽小学校区）,ない,,ない,２．一度、市を出て、また帰ってきたい,,生まれてそこで育ったから,携帯電話（スマートフォン以外）,,産業が盛んで働く場所が充実したまち;歴史・伝統・芸術・文化を大切にするまち;地域資源を活かした観光交流が盛んなまち,,にぎやかなところになっている,ない
241,RS00024182,2023-07-03T14:36:09,中学生,女性,12〜15歳,鯖江（惜陰・進徳小学校区）,"自然がたくさんある
",,遊ぶ場所が少なく、遠いところまで行かないといけないので気軽に遊べない,２．一度、市を出て、また帰ってきたい,,鯖江市だけではなく、他の地域に行っていろいろなことを体験してみたい,パソコン;スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;安心して結婚・出産・子育てができるまち;個性を尊重し多様なライフスタイルが実現できるまち,,,
240,RS00024082,2023-07-03T14:19:38,中学生,女性,12〜15歳,神明（神明・鳥羽小学校区）,自然があるところ,,特にない,１．いま住んでる地区にずっと住み続けたい,,決まってはいないが今住んでいる場所が好きだから,スマートフォン（スマホ）;タブレット端末,,人々のふれあいやコミュニティ活動が盛んで温かいまち;防災対策や防犯対策が十分で安全安心に暮らせるまち;歴史・伝統・芸術・文化を大切にするまち,,特にない,特にない
239,RS00023941,2023-07-03T13:30:49,中学生,女性,12〜15歳,立待,地域の人が優しい,,遊べる場が少ない,２．一度、市を出て、また帰ってきたい,,住みやすいから,スマートフォン（スマホ）;タブレット端末;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;歴史・伝統・芸術・文化を大切にするまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,みんなが仲良く暮らせる街,ショッピングモール（イオン、コストコなど）を増やしてほしい
238,RS00023848,2023-07-03T13:29:55,中学生,男性,12〜15歳,立待,"自然が多い
",,遊べる場所がない,２．一度、市を出て、また帰ってきたい,,住みやすいから,パソコン;スマートフォン（スマホ）,,防災対策や防犯対策が十分で安全安心に暮らせるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;子どもから高齢者まで安心して教育を受けられるまち,,,
237,RS00023707,2023-07-03T13:29:36,中学生,男性,12〜15歳,鯖江（惜陰・進徳小学校区）,"近くにコンビニやスーパなど、
公園があったりする",,"大きいショッピングモールがないこと
USJなどのテーマパークがない
",５．県外に移りたい,福岡県,仕事をするときに人がいないとお金が稼げないから福井よりも多い福岡に行きたい,スマートフォン（スマホ）,,スポーツに親しむ環境が整備されたまち,,料理人になるためにいっぱい料理を作る,なし
236,RS00023673,2023-07-03T13:29:04,中学生,男性,12〜15歳,吉川,,,,５．県外に移りたい,東京都,スポーツがしたいから,スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち,,,
235,RS00023575,2023-07-03T13:28:55,中学生,女性,12〜15歳,神明（神明・鳥羽小学校区）,優しい人が多いところ。,,遊べる所をふやしてほしい。,１．いま住んでる地区にずっと住み続けたい,,ここが好きだから,パソコン;スマートフォン（スマホ）;テレビ,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;若者や女性に選ばれる魅力のあるまち;スポーツに親しむ環境が整備されたまち,,おもしろい施設がたくさん,とくに無い
234,RS00023448,2023-07-03T13:26:44,中学生,男性,12〜15歳,神明（神明・鳥羽小学校区）,図書館があり、すぐに本を借りることができること,,"みんなで遊べる遊園地とかがないこと
イオンがないこと
でかいプールがないこと
",５．県外に移りたい,京都府,京都の大学に行きたいから,スマートフォン（スマホ）;テレビ;ラジオ,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;産業が盛んで働く場所が充実したまち;まちなみや景観が美しいまち,,"発展する街
","イオンを鯖江に作ってください
観光客が来やすそうな施設を作ってください
鯖江駅がサンドームのライブのときにとても混雑するので、切符、ICカードどちらとも通せる自動改札を設置してください
"
233,RS00023375,2023-07-03T13:24:56,中学生,男性,12〜15歳,神明（神明・鳥羽小学校区）,地域の人が優しい,,友達と遊べる場所が少ない,１．いま住んでる地区にずっと住み続けたい,,住み慣れた場所にいたいから,スマートフォン（スマホ）;携帯電話（スマートフォン以外）,,産業が盛んで働く場所が充実したまち;個性を尊重し多様なライフスタイルが実現できるまち;まちなみや景観が美しいまち,,もっといろんなひとが働ける街になるといいと思う,
232,RS00023219,2023-07-03T13:24:15,中学生,女性,12〜15歳,鯖江（惜陰・進徳小学校区）,みせがあるとこ,,みせがあるとこ少ない,２．一度、市を出て、また帰ってきたい,,ほかのとろにもいきたいから,パソコン;スマートフォン（スマホ）,,まちなみや景観が美しいまち;高度な医療や福祉サービスが充実したまち;安心して結婚・出産・子育てができるまち,,みせがおおいといい,みせが多いほうがいい
231,RS00023124,2023-07-03T13:23:08,中学生,女性,12〜15歳,吉川,コウノトリがいる,,ない,１．いま住んでる地区にずっと住み続けたい,,とても住みやすいから,スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,もっと、自然がきれいな市,特にないです。
