【問１】あなたのお住まいの地域を教えてください。,【問２】北陸新幹線 福井・敦賀開業で、お住まいの市町へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問３】北陸新幹線 福井・敦賀開業で、自身の生活へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問４】観光が福井県に与える影響は、「良い影響」の方が「悪い影響」より大きい。,上記回答の理由をお答えください（任意）,【問５】一人の県民として、福井県を訪れる観光客を歓迎したい。,上記回答の理由をお答えください（任意）,【問６】福井県はこれからも観光客の目的地・旅先であり続けるべきだ。,上記回答の理由をお答えください（任意）,【問７】福井県やお住まいの市町、および関連団体による観光振興の取り組みを住民として評価している。,上記回答の理由をお答えください（任意）,【問８】観光があることで、地域の文化や伝統の持続可能性が高まると思う。,上記回答の理由をお答えください（任意）,【問１２】観光客がお住まいの地域に来ることで、自分が住んでいる地域に愛着や誇りを感じる機会がありますか？,上記回答の理由をお答えください（任意）,【問１０】観光客が増加することにつ良いと思いますか？,上記回答の理由をお答えください（任意）,【問９】観光客が増加することで期待される効果について、当てはまると思う選択肢をすべてお答えください,【問１０】観光客が増加することで心配される影響について、当てはまると思う選択肢をすべてお答えください,【問１１】観光地として整備する必要があると思われるものについて、当てはまると思う選択肢をすべてお答えください,"【問１４】現在、あなたは福井県での暮らしにどの程度幸せを感じていますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,あなたのご年齢を教えてください。,あなたの性別をおしえてください。,上記でその他を回答した方はその理由をお答えください（任意）,【問８】観光客が増加することについてどのように思いますか？,上記でその他を回答した方はその理由をお答えください（任意）,"【問１５】今から5年後、あなたは福井県での暮らしにどの程度幸せを感じていると思いますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,【問１３】自分が住んでいる地域を、福井県外の人に自信を持ってお勧めできると感じますか？,,
あわら市,そう思う,観光客が増えて、市が活気にあふれる,ややそう思う,東京、長野など観光に行くかも,あまりそうは思わない,京都、大阪に行くには不便,そう思う,県外の方には知られていない福井の隠れた良さが伝わればいいと思います,そう思う,一乗谷、金ヶ崎、北の庄など歴史的な価値があるところだから,どちらともいえない,,,恐竜ばかりを前面に出し過ぎ,4,,,経済がまわり、活気がでる,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 歴史文化資源の保存活用につながる",治安の悪化,"観光スポットを結ぶ交通機関, 観光イベント, 観光マップやパンフレット, 観光案内所、観光ガイド",7,生まれてから福井を離れたことがなく他を知りません。福井には福井のいいところがあると思うので、まあまあ満足してます,50～59歳,女性,,どちらかと言えば好ましい,,7,,3,,
坂井市,あまりそうは思わない,関西からでは不便になるから,あまりそうは思わない,関西に行く方が多いから,ややそう思う,微妙でどうかなーって思うけど選択肢にないので,とてもそう思う,美味しいどこ福井を知って欲しい,とてもそう思う,良いとこ福井を知って欲しい,評価している,,,我が町も頑張ってるのが見えるから,5,まず人が良い,,福井の経済がまわります,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる",特に心配はない,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 飲食施設",10,意味はないけど大好きです,60～69歳,女性,,とても好ましい,,10,そう信じたい,5,,
福井市,あまりそうは思わない,関西圏、中京圏にいくのが大変になる,ややそう思う,,ややそう思う,,とてもそう思う,,そう思う,,どちらかといえば評価している,,,,3,,,活気が出るといいと思う,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる","交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化",7,,50～59歳,女性,,どちらかと言えば好ましい,,7,,3,,
福井市,ややそう思う,,あまりそうは思わない,,ややそう思う,,ややそう思う,,ややそう思う,,どちらともいえない,,,,3,,,,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく",特に心配はない,"観光イベント, 障害者や高齢者への配慮（バリアフリー）",5,,50～59歳,男性,,どちらともいえない,,5,,3,,
福井市,とてもそう思う,,とてもそう思う,すぐ東京や石川、富山に旅行できるようになるから,全くそうは思わない,今まで観光客はあまり来ていなかったけど、来てもらうことでより他県との違いを知ることが出来、より福井を好きになれると思うから,とてもそう思う,,とてもそう思う,,どちらかといえば評価している,,,,5,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる",交通渋滞や路上駐車などの交通環境の悪化,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場, 体験施設",8,,30～39歳,女性,,とても好ましい,,10,新幹線開通により、関西圏、関東圏、そして愛知県などの中部エリアのそのどこにも行きやすくなると感じるから,3,,
福井市,とてもそう思う,,とてもそう思う,,そうは思わない,,そう思う,,そう思う,,評価している,,,,4,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる","騒音やごみの増加, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント",9,,30～39歳,女性,,好ましい,,9,,3,,
池田町,ややそう思う,福井駅直通の町営バスが運行されているから,そう思う,東京への出張等、乗り換えが不要,そう思う,福井県は海の幸、山の幸と食のレベルが国内でも極めて高いと思うから,そう思う,,とてもそう思う,,とても評価している,,,冠山峠道路開通もあって今後、観光ビジネスは盛り上がると思える,5,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる","騒音やごみの増加, 自然破壊","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 観光イベント, 飲食施設",9,,40～49歳,男性,,とても好ましい,,9,,4,,
福井市,そうは思わない,"海岸近くに住んでいる。
観光客は増えるかもしれないが、いち住民としては、迷惑は、あってもメリットはない。",そうは思わない,新幹線が出来ても普段の生活では、新幹線はいらないから。,そうは思わない,観光に携わるひと等にはメリットが有るかも知れないが一般の人は変わらない。,あまりそうは思わない,沢山の人がきてもデメリットもあるから。,全くそうは思わない,観光客よりも住んでいる人の事を考えて欲しい。,どちらともいえない,,,良いのか悪いのか分からない。,2,県外には、もっと良いところがある。,,ゴミが増えたり風紀が悪くなるから。海岸のゴミを見てもらえば分かる。,"観光客の消費によって飲食業や宿泊業が潤う, 特に効果は期待できない","騒音やごみの増加, 治安の悪化",トイレ・休憩所等の整備及びユニバーサル化,5,交通が不便。,70歳以上,男性,,好ましくない,客がきてもリピートは少ない。,5,特に変わらない,2,,
福井市,とてもそう思う,東京との行き来がしやすいから。一般の人も企業もライブアーティストも来やすい。,とてもそう思う,東京へのアクセスが悪くて旅行の機会を諦めていたことが多々あったので。,そう思う,悪い理由は特に見当たらない,そう思う,平和な福井県の雰囲気を守りたいからみんなで優しくし合いたい,そう思う,,評価している,,,,3,,,雰囲気が賑わうし、ニーズが明らかになってくる,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 観光客との交流が生まれる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","観光スポットを結ぶ交通機関, 飲食施設",8,,20～29歳,女性,,好ましい,,5,ショッピングや飲食の選択肢が少ない,3,,
敦賀市,そう思う,敦賀駅前の開発状況,ややそう思う,新幹線に乗る機会がない,そう思う,当面は敦賀止まりなので、福井県が通過さることがないから,そう思う,福井県の振興につながるから,そう思う,福井県が発展し、より住みやすい地域になって欲しいから,どちらかといえば評価している,,,,3,,,,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 移住・定住のきっかけとなる",交通渋滞や路上駐車などの交通環境の悪化,"観光スポットを結ぶ交通機関, 飲食施設, 宿泊施設、土産物屋, 駐車場",6,,50～59歳,男性,,好ましい,,6,,3,,
福井市,とてもそう思う,東京に近くなると楽しみです。,とてもそう思う,買い物や観光に興味有ります。,とてもそう思う,皆　遠出しやすくなって楽しいと感じます。,とてもそう思う,都会の人　福井の観光や食べ物しるのに良い影響大です。,とてもそう思う,地味と言われながらも　賢く生活力有るから　見習う点有ると思います。,とても評価している,,,PRどんどん出して欲しいです。,4,後少し遊ぶ所　少ないから　増やして下さい。,,経済的に良い方向に行く事間違いなしです。,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化, 日常生活に影響が出るほどの不安","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場, 体験施設",8,後少し　給料上げて下さい。,60～69歳,女性,,とても好ましい,,8,二世帯同居増えるのではないかと思います。,4,,
福井市,あまりそうは思わない,関西や名古屋との行き来が悪くなる,ややそう思う,東京へ乗り換えなしで行ける,ややそう思う,,そう思う,観光が盛り上がることはよいこと,ややそう思う,,評価している,,,協力体制がよくできていて、努力が見られる,3,,,観光客が増えると、施設やイベント内容などが向上してくる,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる","騒音やごみの増加, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 宿泊施設、土産物屋, 駐車場, 体験施設",4,交通の便が悪い。自家用車がないと移動しにくい。,60～69歳,女性,,好ましい,,4,交通の便が悪い,3,,
敦賀市,とてもそう思う,これまで知名度の低い地域だったから,そうは思わない,物価が上がる。ゴミが増える。,そう思う,地域の活性化が期待出来る。,そう思う,環境の良い福井県を知って欲しい。,とてもそう思う,,評価していない,,,何をしているか見えてこない。,2,自慢できるものが無い。,,,"まちに賑わいが生まれる, 地域の知名度が上がる, 移住・定住のきっかけとなる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",観光スポットを結ぶ交通機関,5,全てにおいて不便。,60～69歳,男性,,どちらかと言えば好ましい,,5,未来が見えてこない。,2,,
坂井市,あまりそうは思わない,坂井市には停車駅がないから。,そう思う,今東京で一人暮らしをしており、乗り換えなしで帰省できるようになるから。,そう思う,少子高齢化で財政的に厳しくなっている状況の打破策になると思う反面、福井らしい田舎さや自然が消えてしまわないか少し心配。,そう思う,福井は何もないけれど、住むにはとてもいいところ。観光できた人が移住や別荘地として福井を候補の一つに考えて貰えるきっかけになると思うから。,あまりそうは思わない,観光ならば正直金沢や富山の方がいくべきところがあると思う。そこを目指してもあまり意味がないため、観光よりも住んでいる人にフォーカスするべきだと個人的に感じる。,評価している,,,少し自虐めいたポスターや、品格や謙虚さが現れたいちほまれのパッケージなど、福井らしさが十分に表せていると思うから。,3,私は地元福井が大好きで、他のどの場所よりも食べ物がおいしく、空気がきれいで、心豊かに過ごせる場所だと思うから。,,税収が増えたり、街の経済が活性化するのはいいが、ただでさえ住民の交通手段が少ない中、観光客の増加で住民の生活に支障が出るのではないかとも思う。,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 移住・定住のきっかけとなる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 自然破壊","観光スポットを結ぶ交通機関, 観光イベント, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋",10,今は東京と福井を行き来している生活だが、福井に帰ったときの方が自分が自分らしく、豊かな生活を送れているように感じる。,20～29歳,女性,,好ましい,,10,五年後には、福井で就職して家族と生活している予定であり、自然豊かな環境の中でのびのびと生活しながら自分の新たなキャリアを築くのに努力している最中だと思うから。,5,,
越前市,とてもそう思う,こぞってメディアが紹介してくれると思うから。,そう思う,仕事が増えそう,とてもそう思う,"福井を知ってもらえる
経済効果で財源が増えそう。",とてもそう思う,自分も旅行先で親切にしてもらった思い出があるから,ややそう思う,もう一回行きたいと思ってもらえる素敵な観光地やおいしいものがあるから,どちらかといえば評価している,,,大河に関連していろいろ企画されてるから,4,住みやすい、子育てしやすい,,人が多い方が楽しい,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる","交通渋滞や路上駐車などの交通環境の悪化, 特に心配はない","観光スポットを結ぶ交通機関, 体験施設",10,原発は心配だけど、今のところ大きな災害もなく平和。海も近く山もある。スキーもできて最高‼️,40～49歳,女性,,とても好ましい,,9,どんどんよくなる事を期待してるから,4,,
小浜市,とてもそう思う,まだ嶺南にきた事がない方などが来る見込みもあると思うので街が賑やかになればいいと思う,そう思う,敦賀から乗れるのはとてもありがたい,とてもそう思う,福井県の観光スポットはたくさんあり知られていない所もたくさんあると思う。これを機に色々な所を知って頂けたらと思う。,とてもそう思う,生まれ育ったところのいいところをもっと知ってもらいたい,とてもそう思う,他にはない景色や場所がたくさんあるので,とても評価している,,,町おこしなどのイベントもあり楽しんでいます,5,他では味わえない時間の流れ方があります,,人が動き賑やかになれば経済効果もでてくるので是非増えてほしい,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる","騒音やごみの増加, 歴史文化資源の破壊, 自然破壊, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 観光マップやパンフレット, 体験施設",8,交通面がもっと整えばありがたい,30～39歳,男性,,とても好ましい,,9,ますますよくなっていくと思います,5,,
福井市,あまりそうは思わない,,あまりそうは思わない,,ややそう思う,,ややそう思う,,そうは思わない,,どちらかといえば評価している,,,,3,,,,ガイドなど市民参加の場が広がる,"騒音やごみの増加, 自然破壊, 治安の悪化",障害者や高齢者への配慮（バリアフリー）,6,,30～39歳,男性,,どちらかと言えば好ましくない,,6,,3,,
福井市,そう思う,行き来が増える需要ある,そう思う,,とてもそう思う,,とてもそう思う,,そう思う,食べ物を勧めたい,評価している,,,,5,食べ物が1番美味しいと思う,,福井の食べ物は美味しいから,"まちに賑わいが生まれる, 地域の知名度が上がる, 観光客との交流が生まれる",特に心配はない,"観光イベント, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋",10,,30～39歳,女性,,好ましい,,6,,5,,
坂井市,そう思う,芦原温泉駅から観光客が来ると思うので坂井市にもその恩恵はあるはず,あまりそうは思わない,関東方面への交通は良くなるが、価格は高くなる。大阪方面への交通が不便になる。,そう思う,観光客は増えると思う,とてもそう思う,知名度が低い福井県が活性化されることはよいことだと思うので,そう思う,活性化は常に必要だと思うから,どちらともいえない,,,あまり内容を知らない,3,観光地は多少あるが、全世代の方が楽しめるかは不安,,住民に悪影響を及ぼさないのであれば、大歓迎,"まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 歴史文化資源の保存活用につながる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","観光スポットを結ぶ交通機関, 観光イベント, 宿泊施設、土産物屋",5,田舎で住みやすいが、田舎で移動等不便,50～59歳,女性,,好ましい,,5,今とそう代わらないと思う,3,,
坂井市,あまりそうは思わない,観光が増えない,あまりそうは思わない,全く関係ない,ややそう思う,お土産の種類がふえた,あまりそうは思わない,何回も観光した、コロナ禍,そう思う,観光をふやしてほしい,どちらともいえない,,,わかりにくい,2,,,福井はじみけんではない,"地域の知名度が上がる, 観光客との交流が生まれる",交通渋滞や路上駐車などの交通環境の悪化,"観光スポットを結ぶ交通機関, 観光イベント, 観光マップやパンフレット, 飲食施設",6,,40～49歳,女性,春江の渋滞をどうにかしてほしい,どちらかと言えば好ましい,,6,,2,,
大野市,とてもそう思う,観光が増えると思う,あまりそうは思わない,,そう思う,,とてもそう思う,,とてもそう思う,,とても評価している,,,,5,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる","騒音やごみの増加, 治安の悪化","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化",10,,40～49歳,女性,,とても好ましい,,10,,5,,
福井市,そう思う,,ややそう思う,,とてもそう思う,,とてもそう思う,,とてもそう思う,,評価している,,,,3,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる",交通渋滞や路上駐車などの交通環境の悪化,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 駐車場",3,,50～59歳,女性,,とても好ましい,,5,,4,,
敦賀市,ややそう思う,県内外の出入りが増えるから,そう思う,県外に出やすくなる,ややそう思う,開放的になるから,とてもそう思う,魅力が伝わっていないから,とてもそう思う,スポットがたくさんあるから,どちらともいえない,,,県外の人に浸透しているか不明,3,,,経済効果ぎあるから,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化, 日常生活に影響が出るほどの不安","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場, 体験施設",5,,40～49歳,女性,,とても好ましい,,6,,3,,
福井市,あまりそうは思わない,大阪・名古屋方面への移動が面倒になる,あまりそうは思わない,観光とは無縁な職業の為,あまりそうは思わない,関東方面からの観光客は増えるかも知れないが、大阪名古屋方面からの観光客が減るように思う,そう思う,福井の観光資源を活かして欲しいから,そう思う,福井の観光資源を活かすため,どちらともいえない,,,県外での福井のPR活動が見えにくい,3,,,経済効果が見込める,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 歴史文化資源の保存活用につながる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 駐車場",7,,50～59歳,男性,,好ましい,,7,,4,,
坂井市,あまりそうは思わない,"芦原温泉停車本数少なく
関西方面に行くのに不便になります",あまりそうは思わない,同上,あまりそうは思わない,,とてもそう思う,福井の良さをわかって欲しい,とてもそう思う,観光を通して発展してほしい,評価している,,,,5,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく",交通渋滞や路上駐車などの交通環境の悪化,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化",2,,50～59歳,女性,,とても好ましい,,2,,3,,
福井市,とてもそう思う,関東方面からの観光客は莫大で、これからは関東圏からの誘客が増えてゆくと思うので,とてもそう思う,元々長野県に住んでいたので、良い美術展や展示会があると東京に行ってました。福井に引っ越してからは関東が遠くなり少しストレスを感じていたので,あまりそうは思わない,他県にはないコンテンツが福井には沢山あり、2次交通等を整備すれば必ず良い影響が出てくると思ってましは,とてもそう思う,長野県の友人に福井県の全てが掲載されているマップを配ってます。それを持って福井県に行ってみたいという声もあり、私はそんな友人たちを歓迎して、案内してあげたいです,とてもそう思う,これからもではなく、これからはの方がいい。,とても評価している,,,チラシ、パンフレットがとても優秀で、置いている施設も多いので。,5,私が3年住んでみて、とてもよいところだと思ったから。,,多少閉鎖的な福井の風が外に向かって流れてゆくと思うし、そうあって欲しい。全てにおいてこれからは東京のクオリティが求められると思う,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 歴史文化資源の保存活用につながる, ガイドなど市民参加の場が広がる","騒音やごみの増加, 歴史文化資源の破壊, 自然破壊, 治安の悪化","観光スポットを結ぶ交通機関, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場",9,どこにいくのにも車が必要なのが不満。,50～59歳,女性,,とても好ましい,人のいない福井駅前が賑わってくるのは嬉しい。福井県民もおもてなしの心のクオリティが上がると思う,5,5年後なんてだれも分からない,5,,
福井市,ややそう思う,観光業の収益アップが見込まれ、色々巡り巡ってくるかもしれないから。,ややそう思う,小売業に従事しているから。,あまりそうは思わない,"人口が少いのだから
観光業が賑わう事は
ありがたいから。",とてもそう思う,"わざわざ来てくれるのは
ありがたいから。",とてもそう思う,"認知度があがれば
良さを知ってもらえるから。",どちらかといえば評価している,,,模索中なのが伝わるから(笑),3,東尋坊や足羽山のハピリンなど喜んでもらえるから。,,"まずは来てもらわないと
次にリピート","観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる","交通渋滞や路上駐車などの交通環境の悪化, 自然破壊","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 駐車場",6,今の環境が好きだから,50～59歳,女性,,とても好ましい,,5,物価高は福井だけじゃないから,3,,
越前市,とてもそう思う,新幹線が停まり交通の便が良くなる。県外の人が来られ経済が潤う。,ややそう思う,,とてもそう思う,来県者が増え、経済が潤う。,そう思う,来てくれた人に、良い思い出を作って欲しい。,とてもそう思う,,とても評価している,,,,4,魅力がある。,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, ガイドなど市民参加の場が広がる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 駐車場, 体験施設",10,,50～59歳,女性,,とても好ましい,,10,,4,,
おおい町,そうは思わない,敦賀からの電車の便が良くない為,あまりそうは思わない,新幹線の使用頻度は低いと思う。ただ、新幹線の駅周辺の施設やイベントには行ってみたいと思う。,そう思う,観光で訪れる人が増えれば地域も活性化すると思う。,とてもそう思う,福井県の美味しいものやいい所を知ってもらえたら嬉しい。,そう思う,観光に来たいと思ってもらえるようになると嬉しい。,どちらともいえない,,,県外にイベントや場所の宣伝がどれぐらいされているか良く知らない。,2,夏の大火勢、花火のイベントはすごくいいし、居住では福祉の面で子育てしやすいと思う。,,地域の活性化になると思う。,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 移住・定住のきっかけとなる",騒音やごみの増加,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化",8,普段の買い物がスーパーが遠くて不便だが、その他は特に問題ないと思う。,50～59歳,女性,,好ましい,,8,今とあまり変わらないと思う,3,,
福井市,あまりそうは思わない,東海地方への電車でのアクセスが悪くなるから,ややそう思う,金沢までの交通費が高くなるから,とてもそう思う,経済の活性化が図られるから,とてもそう思う,観光産業が発展することは良いことだと思うから,とてもそう思う,全国に福井の良さを知ってもらいたいから,どちらともいえない,,,,3,,,地元住民との軋轢は多少あるが、経済の活性化にはよいと思うから,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる","騒音やごみの増加, 自然破壊, 治安の悪化","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 宿泊施設、土産物屋",7,,40～49歳,男性,,どちらかと言えば好ましい,,8,,4,,
勝山市,そう思う,人口の多い関東方面からのアクセスが良くなるから,ややそう思う,関東方面へのアクセスが良くなり旅行など移動がしやすくなる,ややそう思う,県内の観光地がバラバラに離れている上二次交通のアクセスも良く無いので、良い地域は良いが県内全ての地域で良いとは思えない,そう思う,"とてもありがたいと思うから
自分も他の地域で歓迎されると嬉しいから",ややそう思う,県内全部の意識統一があればいいがなかなか難しいと思う。受け入れる準備ができていないとかえって悪い印象を与える,どちらともいえない,,,それぞれの地域の思惑で方向がバラバラだと感じるから,3,観光地はあると思うが受け入れる体制が整っていない,,経済効果が見込まれるから,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく","騒音やごみの増加, 自然破壊, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 飲食施設, 宿泊施設、土産物屋",7,人口が少なく行政サービスに不安がある,50～59歳,女性,,どちらかと言えば好ましい,,7,,3,,
福井市,あまりそうは思わない,受け入れ態勢が充分ではないから,あまりそうは思わない,東京方面との関わりがあまりないので,ややそう思う,,そう思う,,ややそう思う,,評価していない,,,公共交通の整備が充分でないので、観光地に行きにくい,1,,,,"まちに賑わいが生まれる, 地域の知名度が上がる","騒音やごみの増加, 自然破壊","観光スポットを結ぶ交通機関, 飲食施設, 宿泊施設、土産物屋",8,,50～59歳,女性,,どちらかと言えば好ましい,,8,,3,,
あわら市,そう思う,街の活性化につながると思う,ややそう思う,旅行が楽しみになる,ややそう思う,多くの旅行客の通過駅になるのではないかと思う,そう思う,,ややそう思う,そのためにはもっともっと魅力的な観光地にならないといけない,どちらかと言えば評価していない,,,新しい新幹線の駅に魅力がない。駅前や市街地の再開発等がどうなるのか見えてこない、,4,魅力がない,,静かな環境と協調ができると良い,"観光客の消費によって飲食業や宿泊業が潤う, 地域の知名度が上がる","騒音やごみの増加, 自然破壊, 治安の悪化","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化",8,,50～59歳,男性,,どちらかと言えば好ましい,,8,人が少なくなっている,2,,
