回答番号,受付番号,回答日時,あなたの性別は？,あなたが住んでる地区は？,あなたが住んでる地区の良いところや好きなところ、自慢したいところは？,鯖江市に変わってほしいところや不便なところは？,あなたが社会人になっても鯖江市に住み続けたい？ [※１～２を選択した人の次の設問はQ７です],Q5で３～５を選択した人にお聞きします。具体的にどこに移りたいですか？ [都道府県、市町、地区名など],Ｑ５であなたが選んだ理由は？ [できるだけ具体的にお願いいたします。],あなたが欲しい情報を探したり集めたりするときに使うものは？ [（○は３つまで）],あなたが欲しい情報を探したり集めたりするときに使うものは？その他,あなたは鯖江市がどんなまちになったらいいと思いますか？ [（○は３つまで）],あなたは鯖江市がどんなまちになったらいいと思いますか？その他,鯖江市の将来像について、夢や希望、アイデアなど、想いを自由に書いてください。,その他、市に対して言いたいことを、自由に書いてください。
437,RS00043709,2023-07-06T09:55:04,女性,鯖江（惜陰・進徳小学校区）,スーパーが沢山ある,友達と遊ぶ場所がない,１．いま住んでる地区にずっと住み続けたい,,鯖江すき,スマートフォン（スマホ）;携帯電話（スマートフォン以外）,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;安心して結婚・出産・子育てができるまち,,ショッピングモール作って欲しいです,
435,RS00043505,2023-07-06T09:54:29,女性,鯖江（惜陰・進徳小学校区）,スーパーが多い,遊べる場所が少ない,１．いま住んでる地区にずっと住み続けたい,,住みやすいから,スマートフォン（スマホ）;パソコン;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;個性を尊重し多様なライフスタイルが実現できるまち,,安心して遊べる場所を増やす,遊ぶ場所を増やしてほしい
434,RS00043477,2023-07-06T09:53:27,男性,豊,"公民館の体育館をかりられる。
小学校のときに、三床山登山のイベントがある。",田んぼの部分をアウトレットなどにしてほしい。,５．県外に移りたい,広島、福岡、神奈川,県外だと、福井県に足りないものがたくさんあるから。,スマートフォン（スマホ）;テレビ,,スポーツに親しむ環境が整備されたまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;個性を尊重し多様なライフスタイルが実現できるまち,,アウトレットなどの娯楽系の施設をたくさん作ってほしい。でも、農業なども大切に残してほしい。,医療などの施設も充実してほしい
433,RS00043390,2023-07-06T09:52:52,女性,吉川,コウノトリがくる,"遊べるところ少なすぎる
イオンほしい
虫が多すぎる",４．県内の他の市町に移りたい,勝山市,ツキノワグマが出てくる,スマートフォン（スマホ）;テレビ,,安心して結婚・出産・子育てができるまち;高度な医療や福祉サービスが充実したまち;身近に自然を感じることのできるまち,,たくさん遊べる,とにかく遊ぶ場所少なすぎ
432,RS00043209,2023-07-06T09:52:47,男性,鯖江（惜陰・進徳小学校区）,ない,カラオケ、イオンモール、アウトレット、大型な公園、バスケットコート、ゲーセン、ミニストップ,５．県外に移りたい,東京,都会に移りたいから,スマートフォン（スマホ）;タブレット端末;テレビ,,スポーツに親しむ環境が整備されたまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,栄えてて楽しい街,
431,RS00043130,2023-07-06T09:52:32,男性,鯖江（惜陰・進徳小学校区）,コロナ前は、交流があったこと。,イオンモールがない,５．県外に移りたい,京都、大阪、東京,将来、やりたい仕事があるから。,スマートフォン（スマホ）;携帯電話（スマートフォン以外）;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;安心して結婚・出産・子育てができるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,もっと人口が増える,もっともっと、眼鏡についてアピールすると、観光客が増えると思います。
430,RS00043085,2023-07-06T09:52:27,男性,鯖江（惜陰・進徳小学校区）,鯖江なのに田舎じゃなくて家や店などがあるところ,都会になってほしい,２．一度、市を出て、また帰ってきたい,,年寄りにいい街で若者のことを全く考えていないから,パソコン;スマートフォン（スマホ）;テレビ,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;安心して結婚・出産・子育てができるまち;スポーツに親しむ環境が整備されたまち,,東京を超える大都市,西山公園の入場料をとる（西山公園は集客も桜や紅葉の時期も入場料をとっても行えると思いますし鯖江市の財政が豊かになると思います。）
429,RS00042903,2023-07-06T09:50:23,男性,豊,自然豊か,道路ががたがた,１．いま住んでる地区にずっと住み続けたい,,住みやすい,パソコン;スマートフォン（スマホ）,,産業が盛んで働く場所が充実したまち,,暮らしやすい街,イオン
428,RS00042892,2023-07-06T09:50:03,回答しない,鯖江（惜陰・進徳小学校区）,,商業施設が少ない,５．県外に移りたい,京都,"行きたい大学がそこにあるから
",パソコン;スマートフォン（スマホ）;テレビ,,だれもが自由に移動できる交通利便性の高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,"大型商業施設がほしい
","選挙運動がうるさい
"
427,RS00042770,2023-07-06T09:48:58,女性,新横江（鯖江東小学校区）,競技場やプール食べ物やさんがたくさんある。,遊ぶ場所が少ない。,２．一度、市を出て、また帰ってきたい,,いろんな県に行きたいから。,スマートフォン（スマホ）;タブレット端末,,まちなみや景観が美しいまち;歴史・伝統・芸術・文化を大切にするまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,災害やウイルスの流行らないみんなが毎日健康でいられる町,遊ぶ場所が少なすぎる
426,RS00042672,2023-07-06T09:48:56,女性,鯖江（惜陰・進徳小学校区）,田んぼがきれい,遊べる場所が少ない,５．県外に移りたい,愛知県,楽しそう,スマートフォン（スマホ）;テレビ,,まちなみや景観が美しいまち;安心して結婚・出産・子育てができるまち;産業が盛んで働く場所が充実したまち,,人が賑わっていて　明るい　,いい街にしてほしい
425,RS00042561,2023-07-06T09:48:56,男性,新横江（鯖江東小学校区）,サンドームがある,イオンを作れ,２．一度、市を出て、また帰ってきたい,,やっぱり鯖江はいいところだから,パソコン;スマートフォン（スマホ）;テレビ,,まちなみや景観が美しいまち;スポーツに親しむ環境が整備されたまち;歴史・伝統・芸術・文化を大切にするまち,,もっと現代的なまちづくりをつくったほうがいいとおもう,他の市は結構魅力的な文化がある
424,RS00042455,2023-07-06T09:48:26,女性,豊,田舎家からしずかなところ,ない,１．いま住んでる地区にずっと住み続けたい,,自分の住んでいた場所が好きだから,パソコン;スマートフォン（スマホ）;タブレット端末,,安心して結婚・出産・子育てができるまち;歴史・伝統・芸術・文化を大切にするまち;子どもから高齢者まで安心して教育を受けられるまち,,田舎過ぎないけど、都会すぎない町,今の鯖江を変えます！
423,RS00042305,2023-07-06T09:46:42,回答しない,鯖江（惜陰・進徳小学校区）,自然がいい,ない,２．一度、市を出て、また帰ってきたい,,あんまり発展してないから,テレビ;スマートフォン（スマホ）;タブレット端末,,防災対策や防犯対策が十分で安全安心に暮らせるまち;まちなみや景観が美しいまち;高度な医療や福祉サービスが充実したまち,,ない,学校に行く子供にも給料を与えてほしい（毎月40万ぐらい）
422,RS00042284,2023-07-06T09:45:43,女性,豊,コンビニがある,買い物するところがない,５．県外に移りたい,愛知や千葉など,生き方の選択肢が増えるから,パソコン;スマートフォン（スマホ）;その他,本,若者や女性に選ばれる魅力のあるまち;個性を尊重し多様なライフスタイルが実現できるまち;安心して結婚・出産・子育てができるまち,,適当に都会化するのではなく、いいところを活かしたまちづくりをしてほしい,税金さげてほしい
421,RS00042184,2023-07-06T09:43:49,女性,吉川,,,１．いま住んでる地区にずっと住み続けたい,,場所が、良いから。,スマートフォン（スマホ）;パソコン,,子どもから高齢者まで安心して教育を受けられるまち;高度な医療や福祉サービスが充実したまち;身近に自然を感じることのできるまち,,,
420,RS00042063,2023-07-06T09:41:30,男性,吉川,田んぼがたくさんある,ない,１．いま住んでる地区にずっと住み続けたい,,住みやすいから,パソコン;スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;歴史・伝統・芸術・文化を大切にするまち,,,
419,RS00041918,2023-07-06T08:39:52,男性,豊,ない,田舎すぎる,５．県外に移りたい,名古屋,住みやすい,スマートフォン（スマホ）,,スポーツに親しむ環境が整備されたまち;産業が盛んで働く場所が充実したまち,,都会になってほしい,街を変えろ
418,RS00041819,2023-07-06T08:34:06,男性,豊,何もないところ,観光地を作ってほしい,１．いま住んでる地区にずっと住み続けたい,,生活に一番なれているから,パソコン;タブレット端末;スマートフォン（スマホ）,,身近に自然を感じることのできるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち;歴史・伝統・芸術・文化を大切にするまち,,"マイクラの施設を立てる

アトラクション、グッズショプなど","施設を立てて欲しい
"
417,RS00041783,2023-07-06T08:33:41,女性,新横江（鯖江東小学校区）,自然がおおい,駅前が危ない,２．一度、市を出て、また帰ってきたい,,"大学で県外にでて
就職は福井でしたいから",スマートフォン（スマホ）;タブレット端末;テレビ,,歴史・伝統・芸術・文化を大切にするまち;個性を尊重し多様なライフスタイルが実現できるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,安心安全にくらしたい,これからもがんばってください
416,RS00041622,2023-07-06T08:33:13,男性,豊,ホタルがまあまあ色々な場所で見られる,,２．一度、市を出て、また帰ってきたい,,特殊な仕事でもなければ遠くで住むこともないと思うから。,パソコン;テレビ;その他,本,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,もうちょっとスーパーてきな店が近くにあると良い。,
415,RS00041544,2023-07-06T08:32:03,女性,新横江（鯖江東小学校区）,"自然が良いところ
イベントがある",特にないです,２．一度、市を出て、また帰ってきたい,,自然が豊かで好きだから又、将来の職業のため市から少し出たい,スマートフォン（スマホ）;テレビ;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;安心して結婚・出産・子育てができるまち;歴史・伝統・芸術・文化を大切にするまち,,安心したまちづくりのため一人一人が環境・伝統を守り続けたい。,一人一人が責任を持って市をまとめられるよう頑張ってください。
414,RS00041498,2023-07-06T08:31:38,回答しない,鯖江（惜陰・進徳小学校区）,"

人が優しい。名物が多い。遊べる公園や広場がある。
","
市民プールが壊れている。

",２．一度、市を出て、また帰ってきたい,,"
住みやすいし、昔から知ってるところのほうが楽だから。

",タブレット端末;テレビ;ラジオ,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;歴史・伝統・芸術・文化を大切にするまち;まちなみや景観が美しいまち,,"鯖江は子供向けのお店が少ないので子供向けのお店を増やすといいと思います。

文化を大切にするイベントも増やしてほしいです。",鯖江の好きなところは眼鏡の技術や西山公園だからイベントやボランティアにはたくさん参加したいと思います。
413,RS00041385,2023-07-06T08:31:05,男性,新横江（鯖江東小学校区）,"家の目の前に陸上競技場があってその横にサッカーができるとても良い芝生広場がある。
自販機もあるし、すぐ飲食店に着く。",もっと良いサッカー場がほしい。,１．いま住んでる地区にずっと住み続けたい,,今住んでいる場所がすごく良いから。,その他;テレビ;タブレット端末,ニンテンドースイッチ,スポーツに親しむ環境が整備されたまち;防災対策や防犯対策が十分で安全安心に暮らせるまち;だれもが自由に移動できる交通利便性の高いまち,,もっと良い町,鯖江中学校のグランドにネットを立ててほしい。（田んぼなどにボールが飛んでいかないようにしてほしい）
412,RS00041229,2023-07-06T08:30:06,女性,鯖江（惜陰・進徳小学校区）,サンドームの近く,友達と遊べるところが少ない,５．県外に移りたい,沖縄県,今と違うところに住んでみたいから,スマートフォン（スマホ）;テレビ,,人々のふれあいやコミュニティ活動が盛んで温かいまち;まちなみや景観が美しいまち;身近に自然を感じることのできるまち,,　遊園地、ラウンドワン、イオンがほしい,　友達と遊べる場所を増やしてほしい
411,RS00041148,2023-07-06T08:29:59,女性,豊,"地区のみんなが安心して生活できるところ。
子供達の仲が良いところ。
",遊べる場所が少ない。,２．一度、市を出て、また帰ってきたい,,他の県などもっといろんなところに行っていろんなことを知りたい。,スマートフォン（スマホ）;タブレット端末;テレビ,,まちなみや景観が美しいまち;身近に自然を感じることのできるまち;安心して結婚・出産・子育てができるまち,,自然豊かだから、それをいかすと良いと思う。,とくにないです。
410,RS00041084,2023-07-06T08:29:57,女性,鯖江（惜陰・進徳小学校区）,夏になると西山の猿の声が聞こえてあたたかい気持ちになる,遊ぶ場所が少ない,１．いま住んでる地区にずっと住み続けたい,,"住み慣れていて安心するから
県外はちょっと怖いからあんまり住みたくない",スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;若者や女性に選ばれる魅力のあるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,,
409,RS00040977,2023-07-06T08:29:47,女性,豊,車があまり通らない,遊ぶ場所が少ない,５．県外に移りたい,大阪,ずっと同じのとこにいるのは面白くないから,スマートフォン（スマホ）;タブレット端末,,安心して結婚・出産・子育てができるまち;若者や女性に選ばれる魅力のあるまち;子どもから高齢者まで安心して教育を受けられるまち,,夢の国を作ってほしい,豊にコンビニをふやしてほしい
408,RS00040806,2023-07-06T08:27:42,男性,新横江（鯖江東小学校区）,田んぼがたくさんあるとこ。,外で遊べるとこがなし、学校が遠い。,５．県外に移りたい,三大都市圏のどれか。,いろんな職業がある。,パソコン;スマートフォン（スマホ）;テレビ,,スポーツに親しむ環境が整備されたまち;地域資源を活かした観光交流が盛んなまち;産業が盛んで働く場所が充実したまち,,産業が盛んで暮らしやすい,田んぼしかない、
407,RS00040785,2023-07-06T08:27:35,女性,豊,,,５．県外に移りたい,,将来やりたい仕事が県内にないから,スマートフォン（スマホ）;テレビ,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;若者や女性に選ばれる魅力のあるまち,,,
406,RS00040623,2023-07-06T08:26:48,男性,鯖江（惜陰・進徳小学校区）,静かで住んでいて落ち着く,無いです,２．一度、市を出て、また帰ってきたい,,いい大学に入りたいから,スマートフォン（スマホ）;パソコン;新聞・雑誌など,,防災対策や防犯対策が十分で安全安心に暮らせるまち;だれもが自由に移動できる交通利便性の高いまち;子どもから高齢者まで安心して教育を受けられるまち,,無いです,鯖江市は最高！
405,RS00040566,2023-07-06T08:26:28,女性,豊,自然豊か。,"お店が少ない。
子供が自由にのびのびできるとこが少ない。
",５．県外に移りたい,石川県,新しいことをしたい,スマートフォン（スマホ）;テレビ,,若者や女性に選ばれる魅力のあるまち;歴史・伝統・芸術・文化を大切にするまち;子どもから高齢者まで安心して教育を受けられるまち,,いろんな人がきてくれるような街にしてほしい,もっと鯖江の営業の仕方を考えてほしい
404,RS00040447,2023-07-06T08:24:54,男性,鯖江（惜陰・進徳小学校区）,誰でも使える体育館がある,スポーツをするときにできる場所が少ない,５．県外に移りたい,アメリカ,"アメリカが好きで将来アメリカに住みたいから
",スマートフォン（スマホ）;新聞・雑誌など,,スポーツに親しむ環境が整備されたまち;地域資源を活かした観光交流が盛んなまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,スポーツを頑張りたい人のためにスポーツができる体育館を増やしたり競技場を増やして、スポーツ環境を良くしてほしい,バスケコートを増やしてほしい
403,RS00040355,2023-07-06T08:24:30,男性,吉川,公民館で夏休み勉強できる環境がある。,"イオンとかラウンドワンがない。
カードショップが少ない。",２．一度、市を出て、また帰ってきたい,,県外に行ってみたいから,スマートフォン（スマホ）,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,ビルとかが沢山あるまち,イオン建てて!！
402,RS00040222,2023-07-06T08:24:25,男性,鯖江（惜陰・進徳小学校区）,"
自然豊かで落ち着く
静かで勉強に集中できる","

遊ぶ施設などが少ない
",２．一度、市を出て、また帰ってきたい,,"
一回県外に行きたいから",スマートフォン（スマホ）;タブレット端末;テレビ,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,"
大型商業施設があるといい
","

いつもお疲れ様です"
401,RS00040132,2023-07-06T08:24:07,男性,鯖江（惜陰・進徳小学校区）,コンビニがちかい,特にない,２．一度、市を出て、また帰ってきたい,,いいところに行きたいから,パソコン;スマートフォン（スマホ）;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;地域資源を活かした観光交流が盛んなまち;産業が盛んで働く場所が充実したまち,,,
400,RS00040075,2023-07-06T08:23:58,男性,鯖江（惜陰・進徳小学校区）,すぐ近くに球技やトレーニングができる運動施設がある,もう少しスーパーやコンビニを増やしてほしい。,１．いま住んでる地区にずっと住み続けたい,,今住んでいる場所が一番落ち着くから。,スマートフォン（スマホ）;スマートウォッチ;テレビ,,歴史・伝統・芸術・文化を大切にするまち;スポーツに親しむ環境が整備されたまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,テニスコートを鯖江市に作ってほしい。,もう少し公園を増やしてほしい。
399,RS00039999,2023-07-06T08:23:54,男性,豊,安定感,特にない,１．いま住んでる地区にずっと住み続けたい,,普通に暮らしやすいから,スマートフォン（スマホ）;テレビ,,まちなみや景観が美しいまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;身近に自然を感じることのできるまち,,量産型ザク,ストライクフリーダムガンダム
398,RS00039826,2023-07-06T08:23:50,男性,新横江（鯖江東小学校区）,コンビニとスーパーがたくさんある,バスケットコートを作ってほしいです,２．一度、市を出て、また帰ってきたい,,"なんとなく
",スマートフォン（スマホ）,,歴史・伝統・芸術・文化を大切にするまち,,ない,バスケットコートを作ってほしいです
397,RS00039781,2023-07-06T08:23:32,女性,新横江（鯖江東小学校区）,夏休みの納涼祭、ラジオ体操,バスケができる公園がほとんどない,４．県内の他の市町に移りたい,関西,"将来やりたい仕事が県外にしかないから。
好きな店が福井にないから。",スマートフォン（スマホ）;テレビ;タブレット端末,,人々のふれあいやコミュニティ活動が盛んで温かいまち;高度な医療や福祉サービスが充実したまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,みんなが過ごしやすい健康なまち,特になし
396,RS00039693,2023-07-06T08:23:12,男性,鯖江（惜陰・進徳小学校区）,公園がたくさんのあるところが好きです,ない,１．いま住んでる地区にずっと住み続けたい,,自然がたくさんあって住みやすいから,スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;歴史・伝統・芸術・文化を大切にするまち;身近に自然を感じることのできるまち,,自然豊かな街が続いてほしい,ない
395,RS00039532,2023-07-06T08:23:02,男性,鯖江（惜陰・進徳小学校区）,桜がよく見られる,公園少ない、古い,５．県外に移りたい,東京,都会で、色んなものがあるから買い物しやすい。,スマートフォン（スマホ）;テレビ,,だれもが自由に移動できる交通利便性の高いまち;安心して結婚・出産・子育てができるまち;産業が盛んで働く場所が充実したまち,,自由欲しい,もっと自由が欲しい
394,RS00039415,2023-07-06T08:22:56,男性,豊,野球ができる場所があること,公園が小さい,５．県外に移りたい,奈良県,常に鹿を見れるし、友達がいるから,スマートフォン（スマホ）;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;歴史・伝統・芸術・文化を大切にするまち;スポーツに親しむ環境が整備されたまち,,鯖江市が環境のいい街担ってほしい,他の県よりも環境トップになってほしい
393,RS00039358,2023-07-06T08:22:42,男性,豊,青年の家があるとこ,豊にもっと店を作ってほしい,５．県外に移りたい,石川県,福井県より住みやすいと思ったから,スマートフォン（スマホ）;テレビ;新聞・雑誌など,,若者や女性に選ばれる魅力のあるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち;歴史・伝統・芸術・文化を大切にするまち,,都会になってほしい,田んぼを少し減らして店を作ってほしい
392,RS00039259,2023-07-06T08:22:26,男性,鯖江（惜陰・進徳小学校区）,"軽い運動ができたり、スポーツができたりする場所があること。
地域の人との交流ができるところ。","テニスなどのスポーツができる場所をつくってほしい。
",１．いま住んでる地区にずっと住み続けたい,,"今住んでいるところは居心地もよく立地的にもいいから。
引越しをしても色々お金などがかかるから。",スマートフォン（スマホ）;テレビ,,歴史・伝統・芸術・文化を大切にするまち;スポーツに親しむ環境が整備されたまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,新幹線が開通し、新幹線で旅行に来たり、観光に来たりした人たちを歓迎し、発展していっている市になっていたらいいなと思う。,ありません
391,RS00039170,2023-07-06T08:22:18,男性,豊,ない,豊地区にバスケットゴールがある公園を作ってほしい,２．一度、市を出て、また帰ってきたい,,いっかい市を出て他の県の魅力やいいとこを知って帰ってきたい,スマートフォン（スマホ）;テレビ,,スポーツに親しむ環境が整備されたまち;身近に自然を感じることのできるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,"スポーツができる公園で休憩できるところ作ったり
バスケットコート作る",ない
390,RS00039035,2023-07-06T08:22:16,男性,豊,"田舎過ぎて風通しがいいところ
小学校のグラウンドの水はけがいいところ",ショッピングモールを立ててほしい,４．県内の他の市町に移りたい,京都府,上京したいから。,スマートフォン（スマホ）;テレビ,,スポーツに親しむ環境が整備されたまち;高度な医療や福祉サービスが充実したまち;産業が盛んで働く場所が充実したまち,,三大都市圏を四大都市圏になるような都会にする,もうちょい住みやすい街にしよ
389,RS00038972,2023-07-06T08:22:01,男性,吉川,田んぼや自然の風景がある,大きいショッピングモール（イオンみたいな）を建ててほしい,１．いま住んでる地区にずっと住み続けたい,,豊かな自然がある場所に住みたいから,パソコン;スマートフォン（スマホ）;テレビ,,身近に自然を感じることのできるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;だれもが自由に移動できる交通利便性の高いまち,,身近に自然がありながらも、大きなショッピングモールなどもあるまち,う
388,RS00038839,2023-07-06T08:21:58,男性,豊,"


水田、山","


もう少し御店を出してほしい",５．県外に移りたい,大阪府or東京都,"


都会だし、最新のテクノロジーが集中していると思うから",パソコン;スマートフォン（スマホ）;タブレット端末,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;若者や女性に選ばれる魅力のあるまち;だれもが自由に移動できる交通利便性の高いまち,,"


三大都市圏並ぶくらいの大都市になるといいと思う","


特になし"
387,RS00038775,2023-07-06T08:21:58,男性,鯖江（惜陰・進徳小学校区）,人が優しい,遊べるところが少ない,２．一度、市を出て、また帰ってきたい,,今住んでるところが落ち着くから,スマートフォン（スマホ）;テレビ;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;身近に自然を感じることのできるまち,,自然豊かな街にしてほしい,"特にない
"
386,RS00038638,2023-07-06T08:21:17,男性,新横江（鯖江東小学校区）,"生活に必要なものなどがすぐ買える。
友達と遊ぶ公園がすぐ近くある
",でかいショッピングモールをつくってほしい,５．県外に移りたい,東京都,いろんなものが発展した街に住んでみたいから,パソコン;スマートフォン（スマホ）;テレビ,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;子どもから高齢者まで安心して教育を受けられるまち,,人工がもっと増えていろんなことが発展していってほしい,
385,RS00038570,2023-07-06T08:20:52,男性,吉川,特にない,"特にない
",２．一度、市を出て、また帰ってきたい,,"今住んでいるところが居心地がいいから
",パソコン;スマートフォン（スマホ）;ラジオ,,子どもから高齢者まで安心して教育を受けられるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち;デジタル技術を活用したサービスが充実したまち,,子どもたちも笑顔で楽しところ,特にない
384,RS00038473,2023-07-06T08:20:46,男性,新横江（鯖江東小学校区）,"


周りが静かで落ち着ける！！","


鯖江駅の鳥のフンをなんとかしてほしい",１．いま住んでる地区にずっと住み続けたい,,"


住みやすい",スマートフォン（スマホ）;タブレット端末;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;高度な医療や福祉サービスが充実したまち,,,鯖江に生まれてよかったと、思うようなまちづくりをしてください！
383,RS00038300,2023-07-06T08:20:43,女性,鯖江（惜陰・進徳小学校区）,,"遊ぶ場所がほしい
イオンを作ってほしい
たのしくない",２．一度、市を出て、また帰ってきたい,,"県外に行きたいけど
将来の夢的に両親の近くにいたほうがいいから",スマートフォン（スマホ）;テレビ,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;高度な医療や福祉サービスが充実したまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,"イオンを作ってほしい
",
382,RS00038274,2023-07-06T08:20:37,男性,鯖江（惜陰・進徳小学校区）,春になると西山の桜が咲いて、とてもきれい,友達の家から帰るとき、急な坂があって疲れるし下るときも、スピードがあがって下は道路だし危ない。,１．いま住んでる地区にずっと住み続けたい,,住み慣れているから,スマートフォン（スマホ）,,まちなみや景観が美しいまち;地域資源を活かした観光交流が盛んなまち;スポーツに親しむ環境が整備されたまち,,特にありません,特にありません
381,RS00038146,2023-07-06T08:20:34,男性,新横江（鯖江東小学校区）,,,３．市内の他の地区に移りたい,,"　
",スマートフォン（スマホ）;パソコン;テレビ,,その他,全部,,
380,RS00038045,2023-07-06T08:20:33,男性,豊,ない,遊べる場所がすくない,４．県内の他の市町に移りたい,,県内になにもないから,スマートフォン（スマホ）;テレビ;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;だれもが自由に移動できる交通利便性の高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,,
379,RS00037918,2023-07-06T08:20:26,女性,豊,自然が多い,遊べる場所があまりない,２．一度、市を出て、また帰ってきたい,,一度違うところに行ってみたい,スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち,,にぎやかな街,特になし
378,RS00037848,2023-07-06T08:20:23,男性,鯖江（惜陰・進徳小学校区）,"近くにお店がたくさんある
運動がたくさんできる場所がある",もうちょっと遊べる場所がほしい,５．県外に移りたい,新潟（長岡市）石川、大阪,新潟の帝京長岡高校に行って全国大会などに行ってプロサッカー選手になりたいから,スマートフォン（スマホ）;タブレット端末;テレビ,,スポーツに親しむ環境が整備されたまち;まちなみや景観が美しいまち;高度な医療や福祉サービスが充実したまち,,自然豊か,なし
377,RS00037722,2023-07-06T08:20:17,女性,鯖江（惜陰・進徳小学校区）,自然がたくさんある,友達と遊べる場所が少ない,４．県内の他の市町に移りたい,福井市,今のままだと少し不便だから,スマートフォン（スマホ）,,若者や女性に選ばれる魅力のあるまち;だれもが自由に移動できる交通利便性の高いまち,,友達と遊べる場所をつくる,特にないです
376,RS00037690,2023-07-06T08:20:15,女性,鯖江（惜陰・進徳小学校区）,自然がたくさんあって、空気と水がとてもきれいなところ,"遊ぶとこがまったくない
行くとしても全部遠い。自転車でいける距離がいい",５．県外に移りたい,都会,"とてもたくさんの建物があるから
遊ぶところが多い",スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;地域資源を活かした観光交流が盛んなまち,,将来の子どもたちのためにももっとたくさんのあそぶところが増えてほしいなと思います,下新庄になんかたててください可哀想です
375,RS00037578,2023-07-06T08:19:58,男性,鯖江（惜陰・進徳小学校区）,,桜やつつじがきれいな公園がある（西山公園）。,１．いま住んでる地区にずっと住み続けたい,,鯖江市にいると落ち着くから。,パソコン;スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;歴史・伝統・芸術・文化を大切にするまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,みんなが落ち着いて暮らせる地域にしてほしい。,特にありません
374,RS00037452,2023-07-06T08:19:57,女性,新横江（鯖江東小学校区）,"いろんなところに近い
スーパーが多い",遊ぶ場所が限られている,５．県外に移りたい,愛知県,"発展しているから
いろんな物があるから",スマートフォン（スマホ）;パソコン;テレビ,,デジタル技術を活用したサービスが充実したまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;若者や女性に選ばれる魅力のあるまち,,"いろんなことが発展し住みやすい町
遊ぶ場所が沢山ある町","犯罪が多い
羨ましい"
373,RS00037336,2023-07-06T08:19:47,女性,吉川,,みんなで遊ぶ場所が少ない,１．いま住んでる地区にずっと住み続けたい,,住みやすいから,スマートフォン（スマホ）,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;まちなみや景観が美しいまち,,楽しめる場所が増えてほしい,歩道が狭いとこがある
